"filename", "language", "C#", "JavaScript JSX", "JavaScript", "JSON", "PostCSS", "comment", "blank", "total"
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Repositories\IGroupReportRepository.cs", "C#", 13, 0, 0, 0, 0, 0, 2, 15
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Repositories\IGroupRepository.cs", "C#", 4, 0, 0, 0, 0, 0, 0, 4
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Repositories\IPostRepository.cs", "C#", 16, 0, 0, 0, 0, 0, 0, 16
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Groups\GroupJoinRequestDto.cs", "C#", 14, 0, 0, 0, 0, 0, 2, 16
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Groups\GroupMemberDto.cs", "C#", 14, 0, 0, 0, 0, 0, 2, 16
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Groups\GroupRuleResponse.cs", "C#", 8, 0, 0, 0, 0, 0, 1, 9
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Groups\ReportedGroupContentDto.cs", "C#", 23, 0, 0, 0, 0, 0, 2, 25
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Posts\PostCommentDto.cs", "C#", 21, 0, 0, 0, 0, 0, 2, 23
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Posts\PostDto.cs", "C#", 6, 0, 0, 0, 0, 0, 0, 6
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Posts\PostMediaItemDto.cs", "C#", 12, 0, 0, 0, 0, 0, 1, 13
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Posts\ReactionCountDto.cs", "C#", 8, 0, 0, 0, 0, 0, 2, 10
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Feeds\Commands\MarkLatestFeedAsSeen\MarkLatestFeedAsSeenCommand.cs", "C#", -8, 0, 0, 0, 0, 0, -2, -10
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Feeds\Commands\MarkLatestFeedAsSeen\MarkLatestFeedAsSeenCommandHandler.cs", "C#", -22, 0, 0, 0, 0, 0, -5, -27
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Feeds\Queries\GetFeedPosts\GetFeedPostsQuery.cs", "C#", -11, 0, 0, 0, 0, 0, -2, -13
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Feeds\Queries\GetFeedPosts\GetFeedPostsQueryHandler.cs", "C#", -23, 0, 0, 0, 0, 0, -6, -29
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Commands\AssignGroupRole\AssignGroupRoleCommandHandler.cs", "C#", 35, 0, 0, 0, 0, 0, 6, 41
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Commands\CreateGroupRule\CreateGroupRuleCommand.cs", "C#", 10, 0, 0, 0, 0, 0, 2, 12
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Commands\CreateGroupRule\CreateGroupRuleCommandHandler.cs", "C#", 47, 0, 0, 0, 0, 1, 9, 57
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Commands\DeleteGroupRule\DeleteGroupRuleCommand.cs", "C#", 9, 0, 0, 0, 0, 0, 2, 11
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Commands\DeleteGroupRule\DeleteGroupRuleCommandHandler.cs", "C#", 49, 0, 0, 0, 0, 1, 9, 59
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Commands\ExecuteReportedContent\ExecuteReportedContentCommand.cs", "C#", 10, 0, 0, 0, 0, 0, 2, 12
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Commands\ExecuteReportedContent\ExecuteReportedContentCommandHandler.cs", "C#", 85, 0, 0, 0, 0, 0, 13, 98
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Commands\JoinGroup\JoinGroupCommand.cs", "C#", 8, 0, 0, 0, 0, 0, 2, 10
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Commands\JoinGroup\JoinGroupCommandHandler.cs", "C#", 67, 0, 0, 0, 0, 3, 11, 81
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Commands\LeaveGroup\LeaveGroupCommand.cs", "C#", 7, 0, 0, 0, 0, 0, 2, 9
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Commands\LeaveGroup\LeaveGroupCommandHandler.cs", "C#", 45, 0, 0, 0, 0, 0, 8, 53
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Commands\ReportGroupPost\ReportGroupPostCommand.cs", "C#", 11, 0, 0, 0, 0, 0, 2, 13
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Commands\ReportGroupPost\ReportGroupPostCommandHandler.cs", "C#", 78, 0, 0, 0, 0, 0, 13, 91
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Commands\ReviewGroupJoinRequest\ReviewGroupJoinRequestCommand.cs", "C#", 10, 0, 0, 0, 0, 0, 2, 12
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Commands\ReviewGroupJoinRequest\ReviewGroupJoinRequestCommandHandler.cs", "C#", 58, 0, 0, 0, 0, 2, 10, 70
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Commands\ReviewGroupPost\ReviewGroupPostCommand.cs", "C#", 9, 0, 0, 0, 0, 0, 2, 11
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Commands\ReviewGroupPost\ReviewGroupPostCommandHandler.cs", "C#", 68, 0, 0, 0, 0, 0, 11, 79
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Commands\UpdateGroupRule\UpdateGroupRuleCommand.cs", "C#", 11, 0, 0, 0, 0, 0, 2, 13
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Commands\UpdateGroupRule\UpdateGroupRuleCommandHandler.cs", "C#", 55, 0, 0, 0, 0, 1, 10, 66
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Commands\UpdateGroup\UpdateGroupCommand.cs", "C#", 15, 0, 0, 0, 0, 0, 2, 17
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Commands\UpdateGroup\UpdateGroupCommandHandler.cs", "C#", 51, 0, 0, 0, 0, 0, 9, 60
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Queries\GetGroupJoinRequests\GetGroupJoinRequestsQuery.cs", "C#", 12, 0, 0, 0, 0, 0, 2, 14
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Queries\GetGroupJoinRequests\GetGroupJoinRequestsQueryHandler.cs", "C#", 58, 0, 0, 0, 0, 0, 8, 66
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Queries\GetGroupMembers\GetGroupMembersQuery.cs", "C#", 13, 0, 0, 0, 0, 0, 2, 15
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Queries\GetGroupMembers\GetGroupMembersQueryHandler.cs", "C#", 53, 0, 0, 0, 0, 0, 7, 60
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Queries\GetGroupRules\GetGroupRulesQuery.cs", "C#", 7, 0, 0, 0, 0, 0, 2, 9
