"filename", "language", "XML", "JSON", "Markdown", "C#", "HTTP", "JavaScript", "Properties", "JavaScript JSX", "PostCSS", "Dotenv", "HTML", "log", "comment", "blank", "total"
"d:\SocialNetworkApp\SocialNetworkApp\src\.agent.md", "Markdown", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\IFeedGenerator.cs", "C#", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\IFriendGraphService.cs", "C#", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\ITokenService.cs", "C#", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\IUnitOfWork.cs", "C#", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\IUploadService.cs", "C#", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Messaging\ICommand.cs", "C#", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Messaging\ICommandHandler.cs", "C#", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Messaging\IDomainEventHandler.cs", "C#", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Messaging\IQuery.cs", "C#", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Messaging\IQueryHandler.cs", "C#", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Repositories\IConversationRepository.cs", "C#", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 39
