"filename", "language", "C#", "JSON", "JavaScript JSX", "JavaScript", "PostCSS", "Dotenv", "comment", "blank", "total"
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\IUploadService.cs", "C#", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Repositories\IFriendRequestRepository.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 2, 4
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Repositories\IFriendshipRepository.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 2
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Repositories\IGroupListingRepository.cs", "C#", 14, 0, 0, 0, 0, 0, 5, 3, 22
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Repositories\IPostRepository.cs", "C#", 5, 0, 0, 0, 0, 0, 0, 0, 5
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Repositories\IReelRepository.cs", "C#", 20, 0, 0, 0, 0, 0, 0, 2, 22
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Repositories\IStoryRepository.cs", "C#", 21, 0, 0, 0, 0, 0, 0, 3, 24
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\UploadedVideoResult.cs", "C#", 7, 0, 0, 0, 0, 0, 0, 1, 8
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Friends\FolloweeResponse.cs", "C#", 7, 0, 0, 0, 0, 0, 0, 2, 9
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Groups\GroupCardDto.cs", "C#", 16, 0, 0, 0, 0, 0, 0, 3, 19
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Groups\GroupDetailDto.cs", "C#", 19, 0, 0, 0, 0, 0, 0, 2, 21
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Groups\GroupInsightsDto.cs", "C#", 18, 0, 0, 0, 0, 0, 0, 2, 20
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Posts\PostDto.cs", "C#", 3, 0, 0, 0, 0, 0, 0, 0, 3
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Reels\ReelCommentDto.cs", "C#", 18, 0, 0, 0, 0, 0, 0, 1, 19
