"filename", "language", "XML", "C#", "JavaScript", "PostCSS", "JSON", "Properties", "JavaScript JSX", "log", "ASP.NET Razor", "Dotenv", "Markdown", "comment", "blank", "total"
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Repositories\IBirthdayRepository.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Repositories\IConversationRepository.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 4, 27
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Repositories\IFriendRequestRepository.cs", "C#", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Repositories\IGroupListingRepository.cs", "C#", 0, -14, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -3, -22
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Repositories\IGroupRepository.cs", "C#", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Repositories\IMessageRepository.cs", "C#", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Repositories\INotificationRepository.cs", "C#", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Repositories\IPostRepository.cs", "C#", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Repositories\IReelRepository.cs", "C#", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Repositories\IUserRepository.cs", "C#", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Repositories\MessagesAroundResult.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Security\IBlindIndexService.cs", "C#", 0, -7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -9
