"filename", "language", "Markdown", "JSON", "HTTP", "C#", "XML", "JavaScript", "PostCSS", "Properties", "JavaScript JSX", "log", "HTML", "ASP.NET Razor", "Dotenv", "comment", "blank", "total"
"d:\SocialNetworkApp\SocialNetworkApp\src\.agent.md", "Markdown", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\IFeedGenerator.cs", "C#", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\IFriendGraphService.cs", "C#", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\ITokenService.cs", "C#", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\IUnitOfWork.cs", "C#", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\IUploadService.cs", "C#", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Messaging\ICommand.cs", "C#", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Messaging\ICommandHandler.cs", "C#", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Messaging\IDomainEventHandler.cs", "C#", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Messaging\IQuery.cs", "C#", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Messaging\IQueryHandler.cs", "C#", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Repositories\IBirthdayRepository.cs", "C#", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Repositories\IConversationRepository.cs", "C#", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 7, 66
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Repositories\IFeedRepository.cs", "C#", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Repositories\IFriendRequestRepository.cs", "C#", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 27
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Repositories\IFriendshipRepository.cs", "C#", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Repositories\IGroupReportRepository.cs", "C#", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Repositories\IGroupRepository.cs", "C#", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Repositories\IMessageRepository.cs", "C#", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Repositories\INotificationRepository.cs", "C#", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Repositories\IPostRepository.cs", "C#", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 46
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Repositories\IReelRepository.cs", "C#", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Repositories\ISchoolRepository.cs", "C#", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Repositories\IStoryRepository.cs", "C#", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Repositories\IUserRepository.cs", "C#", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Repositories\MessagesAroundResult.cs", "C#", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\SignalR\ICallHubNotifier.cs", "C#", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\SignalR\IChatHubNotifier.cs", "C#", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\SignalR\INotificationHubNotifier.cs", "C#", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 15
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\SignalR\IPresenceTracker.cs", "C#", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\UploadedVideoResult.cs", "C#", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Application.csproj", "XML", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 35
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Auth\Commands\AdminLogin\AdminLoginCommand.cs", "C#", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 19
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Auth\Commands\AdminLogin\AdminLoginCommandHandler.cs", "C#", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 55
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Auth\Commands\Login\LoginCommand.cs", "C#", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Auth\Commands\Login\LoginCommandHandler.cs", "C#", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Auth\Commands\Register\RegisterCommand.cs", "C#", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Auth\Commands\Register\RegisterCommandHandler.cs", "C#", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 82
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Behaviors\ValidationPipelineBehavior.cs", "C#", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 62
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Commands\AddMemberToConversation\AddMemberToConversationCommand.cs", "C#", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Commands\AddMemberToConversation\AddMemberToConversationCommandHandler.cs", "C#", 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21, 126
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Commands\AssignAdminRole\AssignAdminRoleCommand.cs", "C#", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Commands\AssignAdminRole\AssignAdminRoleCommandHandler.cs", "C#", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 37
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Commands\BlockUser\BlockUserCommand.cs", "C#", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Commands\BlockUser\BlockUserCommandHandler.cs", "C#", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 55
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Commands\CreateConversation\CreateConversationCommand.cs", "C#", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Commands\CreateConversation\CreateConversationCommandHandler.cs", "C#", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 86
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Commands\KickMemberOut\KickMemberOutCommand.cs", "C#", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Commands\KickMemberOut\KickMemberOutCommandHandler.cs", "C#", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 78
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Commands\LeaveConversation\LeaveConversationCommand.cs", "C#", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Commands\LeaveConversation\LeaveConversationCommandHandler.cs", "C#", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 78
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Commands\RemoveMemberFromConversation\RemoveMemberFromConversationCommand.cs", "C#", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Commands\RemoveMemberFromConversation\RemoveMemberFromConversationCommandHandler.cs", "C#", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 45
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Commands\RevokeAdminRole\RevokeAdminRoleCommand.cs", "C#", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Commands\RevokeAdminRole\RevokeAdminRoleCommandHandler.cs", "C#", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 37
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Commands\ToggleNotifications\ToggleNotificationsCommand.cs", "C#", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Commands\ToggleNotifications\ToggleNotificationsCommandHandler.cs", "C#", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 50
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Commands\UnblockUser\UnblockUserCommand.cs", "C#", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Commands\UnblockUser\UnblockUserCommandHandler.cs", "C#", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 49
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Commands\UpdateConversation\UpdateConversationCommand.cs", "C#", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Commands\UpdateConversation\UpdateConversationCommandHandler.cs", "C#", 0, 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 140
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Commands\UploadConversationImage\UploadConversationImageCommand.cs", "C#", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Commands\UploadConversationImage\UploadConversationImageCommandHandler.cs", "C#", 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 112
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Queries\GetConversationDetailByUserId\GetConversationDetailByUserIdQuery.cs", "C#", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Queries\GetConversationDetailByUserId\GetConversationDetailByUserIdQueryHandler.cs", "C#", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 59
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Queries\GetConversationDetail\GetConversationDetailQuery.cs", "C#", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Queries\GetConversationDetail\GetConversationDetailQueryHandler.cs", "C#", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 45
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Queries\GetConversationMembers\GetConversationMembersQuery.cs", "C#", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Queries\GetConversationMembers\GetConversationMembersQueryHandler.cs", "C#", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 45
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Queries\GetConversations\GetConversationsQuery.cs", "C#", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Queries\GetConversations\GetConversationsQueryHandler.cs", "C#", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Queries\SearchConversationsAndFriends\SearchConversationsAndFriendsQuery.cs", "C#", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Queries\SearchConversationsAndFriends\SearchConversationsAndFriendsQueryHandler.cs", "C#", 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 13, 107
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Conversations\ConversationDetailDto.cs", "C#", 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 120
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Conversations\ConversationSearchResponse.cs", "C#", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Feeds\FeedPostDto.cs", "C#", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Friends\FolloweeResponse.cs", "C#", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Friends\FriendRequestDto.cs", "C#", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Friends\FriendResponse.cs", "C#", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Groups\GroupCardDto.cs", "C#", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
